,,CountryID,CountryName,InAnalysis
,,112,Belarus,1
,,108,Burundi,1
,,116,Cambodia,1
,,120,Cameroon,1
,,124,Canada,1
,,148,Chad,1
,,152,Chile,1
,,348,Hungary,1
,,352,Iceland,1
,,356,India,1
,,360,Indonesia,1
,,364,Iran,1
,,368,Iraq,1
,,372,Ireland,1
 ,,376,Israel,1
,,508,Mozambique,1
,,516,Namibia,1
,,524,Nepal,1
,,528,Netherlands,1
,,554,New Zealand,1
,,558,Nicaragua,1
,,562,Niger,1
,,512,Oman,1
,,144,Sri Lanka,1
,,760,Syria,1
,,762,Tajikstan,1
,,764,Thailand,1
,,768,Togo,1
,,780,Trinidad,1
 ,,792,Turkey,1
,,788,Tusinia,1
,,784,United Arab Emirates,1
,,156,China,1
,,380,Italy,1
,,566,Nigeria,1
,,795,Turkemensitan,1
,,158,Taiwan,1
,,384,Cote d'Ivoire,1
,,578,Norway,1
,,800,Uganda,1
,,170,Colombia,1
,,388,Jamaica,1
,,586,Pakistan,1
,,804,Ukraine,1
,,180,Dem. Rep. of Congo,1
,,392,Japan,1
,,591,Panama,1
,,807,Macedonia,1
,,184,Cook Islands,1
,,398,Kazahstan,1
,,598,Papua New Guinea,1
,,818,Egypt,1
,,118,Costa Rica,1
,,400,Jordan,1
,,600,Paraguay,1
,,826,Great Britain,1
,,191,Croatia,1
,,404,Kenya,1
,,604,Peru,1
,,834,Tanzania,1
,,192,Cuba,1
,,408,North Korea,1
,,608,Philippines,1
,,840,United States,1
,,196,Cyprus,1
,,410,South Korea,1
,,616,Poland,1
,,850,US Virgin Island,1
,,8,Albania,1
,,203,Czech Republic,1
,,414,Kuwait,1
,,620,Portugal,1
,,854,Burkina Faso,1
,,12,Algeria,1
,,208,Denmark,1
,,417,Kyrgyzstan,1
,,624,Guinea-Bissau,1
,,858,Uruguay,1
,,16,American Samoa,1
,,214,Dominican Republic,1
,,418,Laos,1
,,626,Timor-Leste,1
,,860,Uzbekistan,1
,,20,Andorra,1
,,218,Ecuador,1
,,422,Lebanon,1
,,630,Puerto Rico,1
,,862,Venezuela,1
,,24,Angola,1
,,222,El Salvador,1
,,426,Lesotho,1
,,634,Qatar,1
,,887,Yemen,1
,,28,Anigua and arbuda,1
,,226,Equatorial Guinea,1
,,428,Latvia,1
,,642,Romania,1
,,891,Serbia and Montenegro,1
,,31,Azerbaijan,1
,,231,Ethiopia,1
,,430,Liberia,1
,,643,Russia,1
,,894,Zambia,1
,,32,Argentina,1
,,36,Australia,1
,,40,Austria,1
,,50,Bangladesh,1
,,51,Armenia,1
,,52,Barbados,1
,,56,Belgium,1
,,60,Bermuda,1
,,64,Bhutan,1
,,68,Bolivia,1
,,70,Bosnia,1
,,72,Botswana,1
,,76,Brazil,1
,,232,Eritrea,1
,,434,Libya,1
,,646,Rwanda,1
,,900,West Germany,1
,,233,Estonia,1
,,438,Liechtenstein,1
,,682,Saudi Arabia,1
,,901,East Germany,1
,,246,Finland,1
,,440,Lithuania,1
,,686,Senegal,1
,,902,Tambov,1
,,250,France,1
,,442,Luxembourg,1
,,690,Seychelles,1
,,903,Moscow,1
,,268,Georgia,1
,,450,Madagascar,1
,,694,Sierra Leone,1
,,904,Basque Country,1
,,270,Gambia,1
,,454,Malawi,1
,,702,Singapore,1
,,906,Andalusia,1
,,275,Palestine,1
,,458,Malaysia,1
,,703,Slovakia,1
,,907,Galacia,1
,,276,Germany,1
,,446,Mali,1
,,704,Viet Nam,1
,,909,North Ireland,1
,,288,Ghana,1
,,470,Malta,1
,,705,Slovenia,1
,,910,Valencia,1
,,292,Gibraltar,1
,,474,Martinique,1
,,706,Somalia,1
,,911,Serbia,1
,,300,Greece,1
,,478,Mauiritania,1
,,710,South Africa,1
,,912,Montenegro,1
,,320,Guatemala,1
,,480,Mauritius,1
,,716,Zimbabwe,1
,,913,SrpSka Republic,1
,,324,Guinea,1
,,484,Mexico,1
,,724,Spain,1
,,,, 
